rank,address,qty,percentage,token_address,token_symbol
107.0,0xc82819f72a9e77e2c0c3a69b3196478f44303cf4,231003.941766,0.0006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
108.0,0x84a2edfe3551a0dee68fa3d399bd67ec575889b0,228596.149983,0.0006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
109.0,0xf2dbc42875e7764edbd89732a15214a9a0deb085,226253.070333,0.0006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
110.0,0x99b3e0765142d03935a91267ab3404d531b6aa57,225373.506517,0.0006,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
111.0,0x5ac2b37a8ce432a29a6154abbe3124c0fb3198e7,220545.827154,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
112.0,0x395bf242bda2677868633b8b839c9e22e0567d96,219507.572919,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
113.0,0x8cb06a5e3f1bf7f9fbb414e88ed722677d0b29c5,218394.274961,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
114.0,0xf679d4d7e97b2eb423e4601d7314a3d16ec368eb,217076.275618,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
115.0,0x3ef9962a422727d9d70f1d8cffac63c0d4ac0fde,213714.855531,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
116.0,0x89331fc05ffb863e53ea2e50aa371f9e9444f287,213035.347079,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
117.0,0x569a11e9c23f6716073aeae549ec69de6356f9b3,207426.162711,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
118.0,0x2990d87e823d3cca83683207dcb2d5660debf376,207046.358088,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
119.0,0x6a03231827da1eca5684d22cbc833724ceaa0c79,206997.485767,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
120.0,0xb0ddf2333994fa9549c07b839fb16fa51046d9e0,206828.911259,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
121.0,0x5ae5e5278ce81a34b1fdfb737f7a6adaf8d110c4,206052.599715,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
122.0,0xc4b59c5c8bddcd3c63cb0cb91d0fdea9b3e7d15e,205544.657515,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
123.0,0x85e3f17c84e239cec91e42ab3df021db45febf17,203621.511327,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
124.0,0x704ee15afe87130f51e2ed34a87a72590a855913,201097.025506,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
125.0,0xf895a840f4869c36c4bf518c426d6d0df85546f5,200263.572235,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
126.0,0x7fec397cf78b1a73dc1f1dec69a415dc14d9bb42,200000.78432,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
127.0,0x3016a415740d746c7cd1a3ace0d39948518119b1,200000.0,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
128.0,0xe17aaf6328cd2103f9f76a30c7912d676463faee,200000.0,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
129.0,0x4ea2f9cc3ee72dcd411d140aadc4ebcf6d5db903,198287.605317,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
130.0,0xbad4ccc91ef0dfffbcab1402c519601fbaf244ef,198222.896966,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
131.0,0xb456039adf3d38888b6ed6f2e35195f6dfd7062d,198000.0,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
132.0,0x653fde51a411f6ebe8c57f900ffb234cf065b484,195376.300247,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
133.0,0xadbd1ee56d3d54f0e76336e0a6d4dd52feb3a9f6,193025.900096,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
134.0,0x3001e634c5b8c5749fe843b66135b85b9d67871e,185937.065616,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
135.0,0x22387d99bb56367dc47ec953f3c706f583f6a9ab,182338.024625,0.0005,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
136.0,0x77dea3bb4d7fb7e332af587d4ebf468a9bfb06c2,180000.0,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
137.0,0x182b4a3bffe97f82c695e3fc3787943c58489fa9,179256.947049,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
138.0,0x5952719f902843f41bdf17a84a6c4db219212975,177170.886347,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
139.0,0xd507272b6384da8576e82b0a219d5291097b7dc2,173778.157073,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
140.0,0xe8ed6ed5cc024c3c6ce007dd9ebe84928cc277f9,170773.056617,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
141.0,0x07f11ce66cc94e131d7f07f76f5e3c5065f36f09,170000.008505,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
142.0,0xfde0618dda34c50ac169adaf4658ecd34b51ff5d,169000.0,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
143.0,0x2078d4ba138cfd29473662616b777879cfbc6794,168284.631982,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
144.0,0x400e0168122400dd2de312b559e5ea0a6154d17f,166930.700667,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
145.0,0x4d472fb9c4a5e1ad8ee583a2b6b9a9fcd2f9e94d,166303.675705,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
146.0,0xdcbe6a2f4bcddb3f9e06f94c208772fe01a28f5e,166090.929747,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
147.0,0xcdb2753241cbac70ea5946be250a7b60230292b6,163200.0,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
148.0,0xd0392e43557dad622db230c515ede5810e085ec4,161823.868623,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
149.0,0x4a4037e53306f284cf214b733e9a54d6a5939818,160773.115953,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
150.0,0xfb8926269232af3fe9d2deaa05469b8e297f6af7,160298.678439,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
151.0,0x29b48bb6302e263a2db8e80a6c8fbb0622c043dc,159801.250432,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
152.0,0x60f9af915006835316dcbc4596bef9ec41b0cf56,158633.904335,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
153.0,0x141cbf52d25579187f4445a5e03d53344ef845a2,157635.953569,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
154.0,0x24099000ae45558ce4d049ad46ddaaf71429b168,156863.96305,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
155.0,0xc2573d86eca05173300cf68d5519f444a76dfeb9,156715.416678,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
156.0,0xeb4883f59590f1dc3e687cccd559809c5a08eebd,155637.941091,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
157.0,0x4f134c3029f39900b9b05db1cfdefaae412202db,154500.934896,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
158.0,0x99080b227fb448b54ad0c47fc30685f9354a0010,154499.70508,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
159.0,0x0bac20c7be874fab3f7701fc348d4103c4d35bc6,154223.559988,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
160.0,0xd02180861a831e675e1c48087f3037fca65109ab,153625.680157,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
161.0,0xa3f7986b7d51bc31388dfd58538cc421704d328d,150100.0,0.0004,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT
