symbol,name,market_cap,address,price_usd
PTU,PTU/USD,,0xc229c69eb3bb51828d0caa3509a05a51083898dd,
PUNDIX,PUNDIX/USD,,0x0fd10b9899882a6f2fcb5c371e17e70fdee00c38,
PYPL,PYPL/USD,,,
QI,QI/USD,,,
RAY,RAY/USD,,,
REAL,REAL/USD,,,
REEF,REEF/USD,,0xfe3e6a25e6b192a42a44ecddcd13796471735acf,
REN,REN/USD,,0x408e41876cccdc0f92210600ef50372656052a38,
RNDR,RNDR/USD,,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,
ROOK,ROOK/USD,,0xfa5047c9c78b8877af97bdcb85db743fd7313d4a,
ROOK,ROOK/USDT,,0xfa5047c9c78b8877af97bdcb85db743fd7313d4a,
RSR,RSR/USD,,0x320623b8e4ff03373931769a31fc52a4e78b5d70,
SAND,SAND/USD,,0x3845badade8e6dff049820680d1f14bd3903a5d0,
SECO,SECO/USD,,,
SHIB,SHIB/USD,,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,
SKL,SKL/USD,,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,
SLND,SLND/USD,,,
SLP,SLP/USD,,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,
SLRS,SLRS/USD,,,
SLV,SLV/USD,,0x4c1c4957d22d8f373aed54d0853b090666f6f9de,
SNX,SNX/USD,,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,
SNY,SNY/USD,,,
SOL,SOL/BTC,,0xd31a59c85ae9d8edefec411d448f90841571b89c,
SOL,SOL/JPY,,0xd31a59c85ae9d8edefec411d448f90841571b89c,
SOL,SOL/TRY,,0xd31a59c85ae9d8edefec411d448f90841571b89c,
SOL,SOL/USD,,0xd31a59c85ae9d8edefec411d448f90841571b89c,
SOL,SOL/USDT,,0xd31a59c85ae9d8edefec411d448f90841571b89c,
SOS,SOS/USD,,0x3b484b82567a09e2588a13d54d032153f0c0aee0,
SPA,SPA/USD,,0xb4a3b0faf0ab53df58001804dda5bfc6a3d59008,
SPELL,SPELL/USD,,0x090185f2135308bad17527004364ebcc2d37e5f6,
SPY,SPY/USD,,,
SQ,SQ/USD,,,
SRM,SRM/USD,,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,
SRM,SRM/USDT,,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,
STARS,STARS/USD,,0xc55c2175e90a46602fd42e931f62b3acc1a013ca,
STEP,STEP/USD,,,
STETH,STETH/USD,,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,
STG,STG/USD,,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,
STMX,STMX/USD,,0xbe9375c6a420d2eeb258962efb95551a5b722803,
STORJ,STORJ/USD,,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,
STSOL,STSOL/USD,,,
SUN,SUN/USD,,,
SUSHI,SUSHI/BTC,,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,
SUSHI,SUSHI/USD,,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,
SUSHI,SUSHI/USDT,,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,
SWEAT,SWEAT/USD,,0xb4b9dc1c77bdbb135ea907fd5a08094d98883a35,
SXP,SXP/BTC,,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,
SXP,SXP/USD,,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,
SXP,SXP/USDT,,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,
SYN,SYN/USD,,0x0f2d719407fdbeff09d87557abb7232601fd9f29,
TLM,TLM/USD,,0x888888848b652b3e3a0f34c96e00eec0f3a23f72,
TLRY,TLRY/USD,,,
TOMO,TOMO/USD,,,
TOMO,TOMO/USDT,,,
TONCOIN,TONCOIN/USD,,,
TRU,TRU/USD,,0xf65b5c5104c4fafd4b709d9d60a185eae063276c,
TRU,TRU/USDT,,0xf65b5c5104c4fafd4b709d9d60a185eae063276c,
TRX,TRX/BTC,,,
TRX,TRX/TRY,,,
TRX,TRX/USD,,,
TRX,TRX/USDT,,,
TRYB,TRYB/USD,,0x2c537e5624e4af88a7ae4060c022609376c8d0eb,
TSLA,TSLA/BTC,,0x110fe5f21c1edd4f03a6e0de0d96d0c2eed0b9cc,
TSLA,TSLA/DOGE,,0x110fe5f21c1edd4f03a6e0de0d96d0c2eed0b9cc,
TSLA,TSLA/USD,,0x110fe5f21c1edd4f03a6e0de0d96d0c2eed0b9cc,
TSM,TSM/USD,,,
TULIP,TULIP/USD,,,
TWTR,TWTR/USD,,,
UBER,UBER/USD,,,
UBXT,UBXT/USD,,0x8564653879a18c560e7c0ea0e084c516c62f5653,
UBXT,UBXT/USDT,,0x8564653879a18c560e7c0ea0e084c516c62f5653,
UMEE,UMEE/USD,,0xc0a4df35568f116c370e6a6a6022ceb908eeddac,
UNI,UNI/BTC,,0x2730d6fdc86c95a74253beffaa8306b40fedecbb,
UNI,UNI/USD,,0x2730d6fdc86c95a74253beffaa8306b40fedecbb,
UNI,UNI/USDT,,0x2730d6fdc86c95a74253beffaa8306b40fedecbb,
USD,USD/JPY,,0x44086035439e676c02d411880fccb9837ce37c57,
USD,USD/TRY,,0x44086035439e676c02d411880fccb9837ce37c57,
USDT,USDT/TRY,,0xdac17f958d2ee523a2206206994597c13d831ec7,
USDT,USDT/USD,,0xdac17f958d2ee523a2206206994597c13d831ec7,
USO,USO/USD,,,
VGX,VGX/USD,,0x3c4b6e6e1ea3d4863700d7f76b36b7f3d3f13e3d,
WAVES,WAVES/USD,,0x1cf4592ebffd730c7dc92c1bdffdfc3b9efcf29a,
WAXL,WAXL/USD,,,
WBTC,WBTC/BTC,,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,
WBTC,WBTC/USD,,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,
WFLOW,WFLOW/USD,,0x5c147e74d63b1d31aa3fd78eb229b65161983b2b,
WNDR,WNDR/USD,,,
WRX,WRX/USD,,,
