symbol,price_usd,name,market_cap,decimals,address
BAL/WETH,15.310328727440519,BalancerV2 LP BAL/WETH,219579173.77072394,18.0,0xb63c94e0a3c2062ef763bf8483a932c0f800671d
BAL/WETH,15.310328727440519,BalancerV2 LP BAL/WETH,219579173.77072394,18.0,0xc7a27c4b61cc72b8d2d986ab3099b982634b3494
CRV3CRYPTO,1146.6805322598414,Curve.fi USD-BTC-ETH,219453848.2797938,18.0,0xc4ad29ba4b3c580e6d59105fff484999997675ff
CRV3CRYPTO,1146.6805322598414,Curve.fi USD-BTC-ETH,219453848.2797938,18.0,0x8e0b8c8bb9db49a46697f3a5bb8a308e744821d2
USTC,0.02242423,TERRACLASSICUSD,218347246.0,,0xa693b19d2931d498c5b318df961919bb4aee87a5
BAND,1.74,BAND PROTOCOL,214481607.0,18.0,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0x36bf227d6bac96e2ab1ebb5492ecec69c691943f
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0xdc37aa16c59ab9243202ee986b9a926709e7a01e
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0x10ba3039d67296d03b93b95a89644e1f12caafc6
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0x7bfd23b68b3b59bdb6fd4370649f6fde57513dc0
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0xfc0da8af39f9260ef2dd63b132df56f2a56580f6
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0xf0715fdba7a7a817ceb02f4eb403caaf6b5f7054
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0x8080ddf6735477333bfc38de4f984c489fcd1680
WSTETH/WETH,1907.5628733746753,BalancerV2 LP wstETH/WETH,212916767.89983422,18.0,0xe2a5849e1953b311bc6466789c1d4039d96a4cd5
